name,registration_number
MILLION GOLDSMITHS AND JEWELLERS ROCHOR (S) PTE LTD,PS20190000826
MING FANG ANTIQUE HOUSE,PS20190001049
MING FENG TRADING,PS20190000754
MING LIP JEWELLERY TRADING,PS20190000478
MING SENG (JOO CHIAT) GOLDSMITH,PS20190000113
MING SON JEWELLERY PTE. LTD.,PS20190000880
MING WATCHES,PS20190001660
MINGJING JEWELRY PTE. LTD.,PS20190000847
MINGOLD JEWELRY TRADING,PS20190000581
MING'S JEWEL,PS20190001260
MINH ANH INTERNATIONAL PTE. LTD.,PS20190000911
MINORA JEWELS PTE LTD,PS20190000127
MITSUBISHI MATERIALS TRADING CORPORATION,PS20190001628
MIX & MATCH MERCHANDISE,PS20190000695
MMA JADE & GEMS GENERAL TRADING PTE. LTD.,PS20190001704
MO LI HUA WATCHES & JEWELLERY PTE. LTD.,PS20190001134
MODERN ART INTERNATIONAL,PS20190000609
MODERN FENGSHUI PTE. LTD.,PS20190001676
MOGOK INTERNATIONAL PTE LTD,PS20190001647
MOGOK ROAD LLP,PS20190000531
MOISS JEWELRY PTE LTD,PS20190000239
MOKARI JEWELLERY PTE LTD,PS20190000328
MOLTENORE PTE. LTD.,PS20190001261
MONETARIUM (SINGAPORE) PTE LTD,PS20190000615
MONETARIUM AUCTIONS,PS20190000614
MONEYMAX JEWELLERY PTE. LTD.,PS20190001061
MONGKON AMULETS,PS20190001713
MOONLIGHT JOAILLERIE,PS20190001013
MORE THAN DIAMONDS,PS20190000425
MORGAN STANLEY CAPITAL GROUP (SINGAPORE) PTE.,PS20190001473
MTS ARTS LLP,PS20190000214
MTS GOLD GLOBAL TRADING PTE. LTD.,PS20190000837
MUCHAS INTERNATIONAL PTE. LTD.,PS20190000875
MUI HENG JEWELLERS PTE. LTD.,PS20190000704
MUKUTHI CORNER,PS20190001205
MUKUTHI CORNER TRADING LIMITED PARTNERSHIP,PS20190000887
MULIA PTE. LTD.,PS20190001019
MULTIFARIOUS ENTERPRISE PTE. LTD.,PS20190001107
MUM'S HOLDINGS,PS20190001740
MUS.ZA PTE. LTD.,PS20190001724
MUSTAFA'S PTE LTD,PS20190000833
MY FAVOURITE COLOURS,PS20190000860
MY GEM WORKSHOP,PS20190000333
MY PRECIOUS GEM,PS20190001725
MY PRIVATE JEWELLER PTE. LTD.,PS20190000967
MYDESIGN OF GEMS PTE. LTD.,PS20190001042
MYER'S JEWELLERY @ CHINATOWN PTE. LTD.,PS20190000953
MYLITTLEJEWELS,PS20190001296
MYRRH,PS20190001269
MYSMARTGOLD BULLION PTE. LTD.,PS20190000355
MYSTERY CHINESE GEOMANCY SPECIALIST CENTRE,PS20190001245
MYSTIC JEWELLERS PTE. LTD.,PS20190000066
MYSTIQUE GEMS,PS20190000096
NA TONG,PS20190000904
NAGA ARTS & ANTIQUES,PS20190000602
NAM LOONG JEWELLERY PTE LTD,PS20190000636
NANKING WATCH DEALER,PS20190001644
NANYANG JADE & JEWELLERY PTE. LTD.,PS20190000694
NANYANG RELIGIOUS ARTIFACTS PTE LTD,PS20190001601
NASH JEWELLERY MANUFACTURERS & WHOLESALERS (PTE) LTD,PS20190001327
NATIONAL GOLD AND SILVER (SINGAPORE) PTE. LIMITED,PS20190001523
NATURAL FEI CUI,PS20190000140
NATURAL GEMS HOUSE OF AGATE,PS20190001294
NATURE 'S TREASURES,PS20190001259
NATURES TREASURE LIMITED LIABILITY PARTNERSHIP,PS20190000961
NAZIM BROTHERS PTE LTD,PS20190000336
NBMV RETAIL PTE. LTD.,PS20190001194
NEELAM LARA DESIGNS,PS20190001105
NEORECOV PTE. LTD.,PS20190001420
NEPTUNE METAL PTE. LTD.,PS20190001405
NEW CITY JEWELLERY & WATCHES,PS20190000785
NEW LIGHT ENTERPRISES,PS20190000290
NGEE HOE JEWELLERY PTE LTD,PS20190000964
NGEE KEONG ANTIQUE WATCH,PS20190001239
NGEE KEONG WATCH DEALER,PS20190000610
NGEE SOON ENTERPRISE TRADING,PS20190000142
NGEE SOON JEWELLERY PTE LTD,PS20190000070
NIESSING ASIA PACIFIC PTE. LTD.,PS20190000592
NILGIRI'S JEWELLERS PTE LTD,PS20190000275
NIVAS ASTROLOGY & RESEARCH PTE. LTD.,PS20190000660
NIVESH INVEST PTE. LTD.,PS20190000583
NJI PTE. LTD.,PS20190000085
NJOII INTERNATIONAL PTE. LTD.,PS20190000958
NOEL GIFTS INTERNATIONAL LTD.,PS20190001187
NOOR IMPEX PTE. LTD.,PS20190001106
NORA LOFT,PS20190000580
NOTE JEWELLERY,PS20190000566
NOXY JEWELLERY PTE. LTD.,PS20190000058
NUMIS LEE BANKNOTES,PS20190001265
NUMISMATIC SOCIETY (ASIA),PS20190001545
NURMAS LLP,PS20190000641
NUWAGEMS,PS20190001575
ODOROKI STUDIO,PS20190001744
OLE LYNGGAARD COPENHAGEN (SG) PTE. LTD.,PS20190000709
OLIVIO ACCESSORIES,PS20190001111
OLYMPIC GEMS COMPANY,PS20190000543
ON CHEONG COMPANY PRIVATE LIMITED,PS20190000017
ONE OUNCE,PS20190000228
ONE'S TREASURE PTE. LTD.,PS20190001395
ONLY4DANNY,PS20190000611
ORANGE DIAMONDS,PS20190000560
ORIENT GOLDSMITHS & JEWELLERS (PRIVATE) LIMITED,PS20190000438
ORIENTAL FORTUNE 21,PS20190001572
ORIENTAL TREASURES,PS20190000974
ORLOV PTE. LTD.,PS20190001099
ORO D'ITALIA PTE. LTD.,PS20190000758
OVERSEAS EMPORIUM (PRIVATE) LIMITED,PS20190000762
P&C JEWELLERY DESIGN,PS20190000838
P.HO CREATIONS,PS20190000631
PACIFIC TIME PTE LTD,PS20190001170
PANDORA JEWELRY SINGAPORE PTE. LTD.,PS20190000885
PARRY JEWELLERY HANDCRAFTS PALACE,PS20190001571
PARTHNON DERIVATIVES PTE. LTD.,PS20190001648
PARWAL PTE. LTD.,PS20190001569
PASSION JEWELLERY INTERNATIONAL PTE. LTD.,PS20190000579
PASSION JEWELLERY MANUFACTURING,PS20190001581
PASSIONS PTE. LTD.,PS20190001728
PASSIONS WATCH EXCHANGE PTE. LTD.,PS20190001746
PAU HUAT JEWELLERY,PS20190000525
PAU SHENG GOLDSMITH & JEWELLERY,PS20190000510
PAU SIN GOLDSMITHS & JEWELLERY,PS20190000301
PAVE STUDIO,PS20190001163
PAVONINE HOUSE,PS20190000728
PD BROADCAST PTE. LTD.,PS20190001253
PEARL FALCO ISE SHIMA JAPAN PTE. LTD.,PS20190001185
PEARL FALCO PTE.LTD.,PS20190000470
PEARL ORIENT & GEMS PTE LTD,PS20190001217
PEM IMPEX PTE. LTD.,PS20190000843
PENG KWEE WATCHES AND JEWELLERY PTE LTD,PS20190000763
PENTAGON GEOMANCY CENTRE,PS20190001645
PERFECT ANTIQUES & JEWELLERY GALLERY PTE. LTD.,PS20190000544
PERFECT CRYSTAL,PS20190001516
PERFECT JADEITE,PS20190000094
PERLEI,PS20190001254
PERLOTA PTE. LIMITED,PS20190000858
PERRARUS FINE JEWELS,PS20190001104
PERSUASION PTE. LTD.,PS20190000867
PETER LEE JEWELLERY,PS20190000817
PHOTIZO PTE. LTD.,PS20190001065
PINK DIAMOND JEWELLERY DESIGN,PS20190000998
PLATIM JEWELRY PTE. LTD.,PS20190001152
PLAZA GEMS CO PTE. LTD.,PS20190001515
PLB INTERNATIONAL TRADING PTE. LTD.,PS20190001232
PNG TIMEPIECE SERVICES,PS20190001745
PNG WATCH DEALER,PS20190001300
PO SHING GOLDSMITHS AND JEWELLERY,PS20190000054
POH FOK JEWELLERY PTE LTD,PS20190001034
POH HENG JEWELLERY (PRIVATE) LIMITED,PS20190000323
POH JADE HONG,PS20190001751
POH JOO TRADING,PS20190000137
POH KIM JEWELLERY TRADING,PS20190000092
POH LI MEI JEWELLERY,PS20190000274
POH LONG TRADING PTE LTD,PS20190000287
POH NAM GOLDSMITH & WATCH SHOP,PS20190000097
POH SENG JEWELLERS PTE. LTD.,PS20190000868
POH YONG GOLDSMITH,PS20190000178
POLAR GEMS PTE. LTD.,PS20190001652
POLAR GROUP HOLDINGS PTE LTD,PS20190000046
POLY JADE AND JEWELLERY,PS20190000109
POOJA DIAMOND,PS20190000585
POU IOK JEWELLERY,PS20190001570
POWOLI JADE & GEMS,PS20190000332
PRATIK DIAMOND (S) PTE. LTD.,PS20190001595
PRECIOUS GOLD JEWELLERS & GOLDSMITH PTE LTD,PS20190000059
PRECIOUS LIFETIME MEMORIES,PS20190001669
PRECIOUS METALS INTERNATIONAL (SINGAPORE) PTE. LTD.,PS20190000946
PRECIOUS STONES INDUSTRY,PS20190000751
PRECIOUS TRADE CONSORTIUM PTE. LTD.,PS20190000341
PRECISION WATCH ENTERPRISE,PS20190000910
PREETI'S ELDORADO SILVER GOODS,PS20190001655
PREMIER JEWELLERY MOUNTING PTE. LTD.,PS20190001580
PRETHIVEE PTE. LTD.,PS20190001778
PRIME GEMS (S) PTE LTD,PS20190001613
PRIME RATE MARKETING SERVICES PTE LTD,PS20190001175
PRIMITIVE ART PIERCING & TATTOO PTE. LTD.,PS20190000938
PRINCESS JEWELLER,PS20190000588
PRINCESS JEWELLERY,PS20190001003
PRISTINE TIMEPIECES PTE. LTD.,PS20190000700
PROPER PEOPLE DESIGN PRIVATE LIMITED,PS20190001140
PRUDENTIAL JEWELLERY DESIGN & TRADING PTE. LTD.,PS20190000737
PUNNO GOLD & DIAMOND PTE. LTD.,PS20190001624
PUREGOLD SINGAPORE PTE. LTD.,PS20190001587
PUREGOLD.SG PTE. LTD.,PS20190000352
PUTERI CLARKE PTE. LTD.,PS20190001642
PYGMALION PTE. LTD.,PS20190001264
QI GIFTS & SOUVENIRS,PS20190001141
QI RONG JEWELLERY,PS20190000184
QI YU CRYSTAL TRADING,PS20190000979
QIAN YUN FUNG SHUI,PS20190001530
QUALITY COINS,PS20190001577
QUEEN'S JEWELLER PTE LTD,PS20190000682
QUEENS WORLD,PS20190000556
QUINN & HAN,PS20190000559
R Y ANTIQUE SHOP,PS20190001520
R.E.D.S ATELIER,PS20190001282
RACHEL P JEWELS PTE LTD,PS20190000045
RADIANCE GEMS PTE. LTD.,PS20190001529
RAFE TRADINGS,PS20190000187
RAFFEMET PTE LTD,PS20190000810
RAFFLES GEMLAB,PS20190000190
RAFFLES JEWELLER PTE LTD,PS20190001398
RAFFLES WATCH,PS20190001056
RAJA KINGS GOLDSMITH AND JEWELLERS PTE. LTD.,PS20190000447
RAMBUTI PTE. LTD.,PS20190000876
RARE GEMS ASIA PTE. LTD.,PS20190000193
RARE JEWELS & COMPANY PTE LTD,PS20190000411
RASHID RAMLEE SUPPLY CENTRE,PS20190000983
RAYMOND'S GEMS INVESTMENT,PS20190001198
REAL GEMS & JEWELLERY,PS20190000366
REALLY LUCKY JEWELLERY PTE. LTD.,PS20190000249
REARDEN METALS PTE. LTD.,PS20190001538
RED NAGA BODHI,PS20190000877
REDCOM MICROTEL INTERNATIONAL PTE. LTD.,PS20190001191
REFULGENT JEWELLERY TRADING,PS20190000419
REN MAKER PTE. LTD.,PS20190001100
REN TING TRADING PTE. LTD.,PS20190001190
REVIE PTE. LTD.,PS20190000890
REVIVAL VINTAGE JEWELS & OBJECTS PTE. LTD.,PS20190000103
REZILIENZ PTE. LTD.,PS20190001593
RI LUXURY PTE. LTD.,PS20190001627
RICHARD HUNG JEWELLERS (PRIVATE) LIMITED,PS20190000161
RICHARD MILLE (S) PTE. LTD.,PS20190001486
RICHEMONT LUXURY (SINGAPORE) PTE. LTD.,PS20190000774
RICK YEE FENGSHUI CONSULTANCY,PS20190001524
RIO DIAMONDS PTE. LTD.,PS20190000625
RIO JEWELLERY MANUFACTURING,PS20190000718
RISH GEMS PTE. LTD.,PS20190000926
RISIS PRIVATE LIMITED,PS20190001271
ROBINSON & COMPANY (SINGAPORE) PRIVATE LIMITED,PS20190001722
RODIAM PTE. LTD.,PS20190000026
RODINIA PTE. LTD.,PS20190001171
ROLEX SINGAPORE PRIVATE LIMITED,PS20190000829
ROSSWATCH PRIVATE LIMITED,PS20190001692
ROYAL BLUE PTE. LTD.,PS20190000100
ROYAL CROWN WATCHES,PS20190000406
ROYAL DRAGON JEWELLERY PTE LTD,PS20190000730
ROYAL INSIGNIA PTE LTD,PS20190000930
ROYAL JEWELLERY & TRADING,PS20190000638
ROYAL JEWELLERY PTE. LTD.,PS20190001720
ROYALBOND PTE. LTD.,PS20190001521
ROYALKING JEWELLERY PTE LTD,PS20190000436
RTG CREDIT (S) PTE. LTD.,PS20190001306
RU YI CRYSTAL,PS20190001734
RU YI PALACE PTE. LTD.,PS20190001399
RU YI XUAN,PS20190000986
RUBIN INVESTMENTS PTE. LTD.,PS20190000547
RUBINA WATCH COMPANY (PRIVATE) LIMITED,PS20190000553
RUDRAKSHAS FOR EVERYONE,PS20190001039
S AND W JEWELLERY MANUFACTURER,PS20190000476
S. VINODKUMAR INTERNATIONAL PTE. LIMITED,PS20190001150
S.E.A. BULLION PTE. LTD.,PS20190001159
S.M.JEWELS PTE LTD,PS20190000668
S.T. WATCH & JEWELLERY,PS20190000936
SAI EXPORTS PTE. LTD.,PS20190001313
SAINT PATRICK'S,PS20190000035
SAKTHI SANGEETHA,PS20190001027
SALAD LLP,PS20190001362
SALALO AMOT,PS20190001156
SAM EXPRESS JEWELLERY TRADING,PS20190001109
SAN PYA GLOBAL PTE. LTD.,PS20190001697
SANA GEM INTERNATIONAL PTE. LTD.,PS20190000278
SANCY JEWELLERY,PS20190001235
SANYIN FINE JADE & GEMS PTE. LTD.,PS20190000815
SANYIN JADE & GEMS COLLECTION PTE. LTD.,PS20190000814
SARA TASEER FINE JEWELLERY PTE. LTD.,PS20190000259
SATYA JEWELLERY PTE LTD,PS20190000627
SAXIFRAGE,PS20190001693
SE ASIA CONSULTING PTE. LTD.,PS20190000206
SEASONS TIME (HFC) PTE. LTD.,PS20190001527
SEASONS TIME PTE. LTD.,PS20190001418
SEASONS TIME WATCHES PTE. LTD.,PS20190001526
SECONDS & MINUTES TIMEPIECES PTE. LTD.,PS20190000701
SECRET CLOVERS,PS20190001567
SELVASEGARA JEWELLERS,PS20190000191
SENG HUAT GOLDSMITHS,PS20190001489
SENZONI PTE. LTD.,PS20190000836
SG AMULET CERTIFICATION CENTER PTE. LTD.,PS20190001677
SG E-AUCTION PTE. LTD.,PS20190000428
SG LIO PTE. LTD.,PS20190001548
SG WATCH MALL PTE. LTD.,PS20190001301
SG WATCHES,PS20190000816
SGC MANUFACTURING PTE. LTD.,PS20190001286
SGH PTE. LTD.,PS20190000947
SHAILDIAM LLP,PS20190000793
SHALIHA GEMS PTE LTD,PS20190000689
SHANG SHAN QIAN,PS20190000976
SHEEN ENTERPRISES PTE LTD,PS20190000041
SHENG CHUAN TRADING,PS20190001133
SHENG WANG JEWELLERY CASTING,PS20190000377
SHENG XING LIMITED LIABILITY PARTNERSHIP,PS20190000723
SHERRY JADE & GEMS,PS20190001654
SHI ZHONG BAO PTE. LTD.,PS20190001229
SHIANG LIN JEWELLERY MANUFACTURING,PS20190000493
SHIN TAT GOLD & WATCHES ENTERPRISE,PS20190000212
SHINE GEMS & JEWELLERY PTE. LTD.,PS20190001368
SHING HENG WATCH & JEWELLERY PTE. LTD.,PS20190000430
SHINING POINT JEWELLERY,PS20190001057
SHOU SHAN MIAO CHUAN,PS20190001115
SHUANG HUA GU WAN GONG YI HANG,PS20190000166
SHUANG HUA ZHU BAO HANG,PS20190000089
SIAHAAN & HSU PTE. LTD.,PS20190001429
SIAM GEM PALACE,PS20190000292
SIANG HOA JEWELLERY ENTERPRISES PTE. LTD.,PS20190000683
SIANG HOA JEWELLERY PTE. LTD.,PS20190000263
SIANG HUAT JEWELLERY TRADING,PS20190000349
SIANG SENG JEWELLERY & ANTIQUE TRADING,PS20190001018
SILVER AFFINITY PTE. LTD.,PS20190000676
SILVER BULLION PTE. LTD.,PS20190001043
SILVER JEWELLERY,PS20190000350
SILVER TRADE.COM,PS20190001297
SILVERA,PS20190001124
SILVERAG PRIVATE LIMITED,PS20190000202
SILVERTWIG,PS20190000227
SILVERWORKS PTE. LTD.,PS20190000309
SIMON WATCH AND JEWELLERY PTE. LTD.,PS20190000713
SIMON WATCH SERVICE CENTRE,PS20190001699
SIMONE JEWELS COUTURE PTE. LTD.,PS20190000969
SIMONE JEWELS PTE. LTD.,PS20190000955
SIN CHEW CHINESE CULTURAL PRODUCTS SUPERMART PTE LTD,PS20190001377
SIN CHONG GOLDSMITH,PS20190000118
SIN LONG INTERNATIONAL TRADING PTE. LTD.,PS20190001794
SIN MEE GOLDSMITH & JEWELLERY,PS20190001093
SIN POH COURT TRADING,PS20190001201
SIN TER MAY PTE. LTD.,PS20190000929
SINCERE WATCH LIMITED.,PS20190000522
SINEX PTE. LTD.,PS20190000750
SING JEWELLERY,PS20190000244
SINGAPORE DIAMOND RESEARCH INSTITUTE PTE. LTD.,PS20190000554
SINGAPORE FINEST GOLD PTE. LTD.,PS20190000029
SINGAPORE GEMS & METALS CO (PTE) LTD,PS20190001083
SINGAPORE GOLD MART JEWELLERY,PS20190001653
SINGAPORE GOLDSMITH & JEWELLER,PS20190001289
SINGAPORE ISLAND RESOURCES PTE. LTD.,PS20190000942
SINGAPORE JIN HUA PTE. LTD.,PS20190000603
SINGAPORE MINT PRIVATE LIMITED,PS20190000863
SINGAPORE NUMISMATIC,PS20190000302
SINGAPORE PRECIOUS METAL REFINERY PTE. LTD.,PS20190001539
SINGAPORE PRECIOUS METALS EXCHANGE PTE. LTD.,PS20190000460
SINGAPORE PRECISION INDUSTRIES PTE LTD,PS20190000257
SINGDASING GOLD TRADING PTE. LTD.,PS20190000010
SINGZHONG TRADE,PS20190000133
SINKID PTE. LTD.,PS20190001424
SIONG JEWELLERY PTE. LTD.,PS20190000403
SIPI PTE. LTD.,PS20190001733
SI-THI AMULETS,PS20190000818
SIXTH JEWELLERY,PS20190001358
SIXTY SIX PTE. LTD.,PS20190000590
SJ AURUM PTE. LTD.,PS20190001334
SK JEWELLERY PTE. LTD.,PS20190000782
SK LUCKY JEWELLERY PTE. LTD.,PS20190001797
SKJ GROUP PTE. LTD.,PS20190000577
SKJ JEWELLERS,PS20190001585
SKL GEMS & JEWELLERY,PS20190000945
SKY JEWELLERY SINGAPORE PTE. LTD.,PS20190001494
SL JEWELLERY,PS20190000395
SL WATCHES,PS20190001139
SMALL ITEMS,PS20190000777
SMJ GOLDSMITH & JEWELLERY,PS20190000071
SMT JEWELLERY,PS20190000134
SNMK DIAMOND PTE. LTD.,PS20190000439
SOLANI JEWELS,PS20190000335
SOO KEE JEWELLERY,PS20190000578
SOOKNIYOM PTE. LTD.,PS20190000933
SOON HUAT GOLDSMITH PTE LTD,PS20190000589
SOON LEE GOLDSMITH & JEWELLERY PTE LTD,PS20190000749
SOON LEE HENG GOLDSMITH,PS20190001024
SOON LEE LAI GOLDSMITHS & JEWELLERS,PS20190000835
SOON SIN HANDICRAFT CENTRE,PS20190001262
SOPHIA GRACE & CO PTE. LTD.,PS20190001767
SOTHEBY'S (SINGAPORE) PTE LTD,PS20190000792
SOUTH STAR JEWELLERY,PS20190000130
SPARKAL JEWELLERY & ARTS,PS20190001120
SPIO PTE. LTD.,PS20190001044
SPM REFINERY PTE. LTD.,PS20190000606
SPRING JEWELLERY (SG) PTE. LTD.,PS20190000251
SRICHAKRA JEWELLERS PTE. LTD.,PS20190000500
SRICHAKRA STAR ASSETS PTE. LTD.,PS20190001649
ST MING SOUVENIR STORE,PS20190000989
ST. HANIVI JEWELLERS PTE LTD,PS20190001208
STANVIS MINERALS PTE. LTD.,PS20190000993
STARLIGHT GEMS PTE LTD,PS20190000537
STARLIGHT JEWELLERY PTE. LTD.,PS20190001790
STARON JEWELS PTE. LTD.,PS20190000409
STEPHANIE WONG JEWELLERY,PS20190000568
STRAITS WATCH COMPANY PTE. LTD.,PS20190000752
STRAITSDIAM PTE LTD,PS20190001256
STRINGWARES,PS20190001446
STROMWATCH ASIA PTE. LTD.,PS20190000232
STYLABS JEWELLERY,PS20190000215
SUAN HENG ENTERPRISE,PS20190001460
SUBRIN JEWELLERY,PS20190000305
SUI JING YU GONG YI,PS20190001564
SULTAN GEMS,PS20190000773
SUMARI INTERNATIONAL JEWELLERY (S) PTE. LTD.,PS20190001532
SUMITOMO CORPORATION GLOBAL COMMODITIES LIMITED,PS20190001360
SUMMER FASHION STYLE,PS20190000657
SUN HENG JEWELLERY,PS20190000378
SUN HOUSE PTE. LTD.,PS20190000906
SUN JI TRADING,PS20190000839
SUN RISING JEWELLERY PTE. LTD.,PS20190001372
SUN WENG JEWELLERY PTE LTD,PS20190000266
SUNLI TRADING,PS20190000057
SUNNY JEWELLERY,PS20190000475
SUNSET ANTIQUES & COLLECTIBLES,PS20190000981
SUNTIME WATCH PTE. LTD.,PS20190000524
SUPPORTIVE ENTERPRISE LLP,PS20190001495
SUPPORTIVE RECYCLING PTE. LTD.,PS20190001614
SUPREME CARE MARKETING PTE. LTD.,PS20190000182
SUTRA GEMS,PS20190000807
SVS INTERTRADE PTE LTD,PS20190000686
SWAN JEWELRY PRIVATE LIMITED,PS20190001224
SWISS BULLION CORP (SINGAPORE) PRIVATE LIMITED,PS20190000848
SWISS MASTER TIME PTE LTD,PS20190000884
SWISS WATCH SPECIALIST,PS20190000324
SYDDALL PTE. LTD.,PS20190001674
SYED GEMS PTE. LTD.,PS20190000960
SYMBOL TELELINK DEVELOPMENT PTE. LTD.,PS20190001221
SYNDICATE MANUFACTURING PTE. LTD.,PS20190001390
T5 PTE LTD,PS20190000697
TAI HONG HUNG (PRIVATE) LIMITED,PS20190000063
TAI LEE JADE & JEWELLERY TRADING,PS20190000699
TAI NIANG GOLDSMITH,PS20190000517
TAK POH JEWELLERY,PS20190000747
TAKA BULLION PTE. LTD.,PS20190000189
TAKA JEWELLERY PTE. LTD.,PS20190000620
TAKASHIMAYA SINGAPORE LTD,PS20190001432
TAMPINES JEWELLERY PTE. LTD.,PS20190000370
T-AMULET (SINGAPORE) PTE. LTD.,PS20190001763
TAN & FOO TRADING,PS20190000139
TAN KIEN LIP TRADING CO,PS20190000811
TAN TIANG HENG JEWELLERY,PS20190000277
TANIA INTERNATIONAL PTE LTD,PS20190000722
TANVI INTERNATIONAL PTE LTD,PS20190000667
TARA STAR JEWELLERY,PS20190000170
TASAKI SINGAPORE PTE. LTD.,PS20190001779
TAT LI JEWELLERY PTE. LTD.,PS20190000307
TATHATA PTE. LTD.,PS20190000148
TAULA PTE. LTD.,PS20190000181
TAVERNIER & CO PTE. LTD.,PS20190001672
TECK LEE DESIGN & SERVICES,PS20190000009
TECK LEE GOLDSMITH & JEWELLERY,PS20190000008
TECK POH ANTIQUE & ART GALLERY,PS20190001312
TECK SHING TRADING,PS20190001067
TEKKA ENTERPRISES,PS20190000149
TEKKA JEWELLER,PS20190000152
TEMPTATIONS JEWELLERY PTE. LTD.,PS20190001066
TENG HUAT JEWELLERY PTE LTD,PS20190000269
TERESE JADE & MINERALS,PS20190000361
TFG RESOURCE PTE. LTD.,PS20190001708
THAI FO YUAN,PS20190001598
THAT ID SHOPPE LLP,PS20190001333
THE BETTER DIAMOND PRIVATE LIMITED,PS20190000987
THE BLACK LIBRARY,PS20190001589
THE BLUSHY KITTEN,PS20190001117
THE BOSS JEWEL PTE. LTD.,PS20190001472
THE CANARY DIAMOND COMPANY PTE LTD,PS20190000612
THE EASTERN WATCH (2007) PTE. LTD.,PS20190000822
THE FINEST TIME PTE. LTD.,PS20190001145
THE FOUR LOVES,PS20190001407
THE GOOD LIFE CLUB PTE. LTD.,PS20190000918
THE GUILD OF STORYTELLERS PTE. LTD.,PS20190001479
THE HENG'S JEWELLERY,PS20190000310
THE HOUR GLASS LIMITED,PS20190001319
THE JADE LAPIDARY,PS20190001091
THE JEWEL BOX PTE LTD,PS20190000365
THE JEWELLERY FACTORY PTE. LTD.,PS20190000311
THE JEWELLERY GALLERY & TRADING,PS20190000101
THE LINK JEWELRY COMPANY,PS20190000669
THE PATHER JEWELLERS PTE. LTD.,PS20190001727
THE PIECES COLLECTION,PS20190001477
THE SAK GEMS & JEWELLERY,PS20190001459
THE SANDS OF TIME PTE. LTD.,PS20190000672
THE SILK ROOT,PS20190000410
THE SILVER TRIANGLE PTE. LTD.,PS20190001633
THE SINGAPORE MINT,PS20190001691
THE SPARK JEWELLERY PTE. LTD.,PS20190001331
THE SWATCH GROUP S.E.A. (S) PTE LTD,PS20190001469
THE TIME COGNOSCENTI PTE. LTD.,PS20190000499
THE VALUE OF TIME (ASIA) PTE. LTD.,PS20190001487
THE WATCH VAULT PTE. LTD.,PS20190000608
THE WORLD ARTS AUCTION,PS20190001721
THEN CREATIONS,PS20190001552
THOMAS SABO PTE. LTD.,PS20190001338
THONG SIA COMPANY (SINGAPORE) PRIVATE LIMITED,PS20190001316
THREE CROWNS JEWELLERY AND WATCH PTE. LTD.,PS20190000711
THYE EIK JEWELLERY,PS20190000322
THYE JOO JEWELLERY & WATCHES PTE. LTD.,PS20190000125
TIAN FENG JEWELLERY & TRADING,PS20190000444
TIAN ZHE LU NATURAL CRYSTAL,PS20190001554
TIANEN GEMS & JEWELLERY,PS20190000549
TIANFU DESTINY EMPOWERMENT PTE. LTD.,PS20190001344
TIANLIN JEWELLERY,PS20190001603
TIANPO JEWELLERY PTE. LTD.,PS20190000830
TIARA CREATION PTE LTD,PS20190000741
TIFFANY & CO. PTE. LTD.,PS20190000243
TIM FOOK JEWELLERY,PS20190001557
TIME ALLEY,PS20190000159
TIME MARQUES BEST,PS20190001028
TIME PIECES BUSINESS,PS20190000255
TIME STORY PTE. LTD.,PS20190001726
TIME STUDIO,PS20190000600
TIME WATCH MALL PTE. LTD.,PS20190001287
TIMELESS CONNECTIONS PTE. LTD.,PS20190000796
TIMELESS TREASURE,PS20190000576
TIMEPIECES,PS20190000238
TIMEX JEWELLERS PTE. LTD.,PS20190001077
TIN SING GOLDSMITHS (PTE.) LIMITED,PS20190000245
TINKERING PTE. LTD.,PS20190001051
TIONG SUN GOLDSMITH & JEWELLERS,PS20190000051
TJS JEWELLERY,PS20190001393
TOKYO SHINJU SINGAPORE PTE LTD,PS20190001008
TONG MERN SERN ANTIQUES ARTS & CRAFTS,PS20190001784
TOOTOKEI WATCHES AND JEWELLERY TRADING,PS20190000778
TOP CASH JEWELLERY PTE. LTD.,PS20190000624
TOP HOUR ENTERPRISE & DEPT STORE,PS20190001768
TOPKONNECT PRIVATE LIMITED,PS20190000521
TORNADO COLLECTION PTE. LTD.,PS20190000621
TOSCOW SINGAPORE PTE. LTD.,PS20190001417
TPJ PTE. LTD.,PS20190001160
TRADELINK EAST ASIA (S) PTE. LTD.,PS20190001709
TRADERS GEMS PTE LTD,PS20190000121
TRADERSPERMITS,PS20190001059
TRANS-OCEAN PTE. LTD.,PS20190001310
TREASURE COVE ONLY,PS20190001167
TREASURE GALLERY,PS20190001512
TREASURE JEWELLERY,PS20190001688
TREE AND BEE JEWELLERY,PS20190001283
TRENDY ASTROLOGY & GEOMANCY CONSULTANT,PS20190001275
TRICOBINO GEMS AND JEWELS PTE. LTD.,PS20190001622
TRINITY DE GEM LLP,PS20190001505
TRINKET COVE INTERNATIONAL,PS20190000040
TRIWAYS UNIGLOBAL PTE. LTD.,PS20190000653
TROUVEE,PS20190001357
TROY INTERNATIONAL PTE. LTD.,PS20190000726
TRUE SUE PTE. LTD.,PS20190000985
TRUST BULLION PTE. LTD.,PS20190000446
TSURA PTE. LTD.,PS20190000192
TU GLOBAL GROUP PTE. LTD.,PS20190000928
TVN COLLECTIVE,PS20190001174
TWINKLE ELECTRONICS,PS20190001090
TXY (SINGAPORE) PRIVATE LIMITED,PS20190001219
